From	Entry	Entry Name	Gene Names	Protein names	EC number	Reviewed
AT1G02690	Q9FWY7	IMPA6_ARATH	IMPA6 At1g02690 T14P4.3	Importin subunit alpha-6 (IMPa-6)		reviewed
AT1G02690	F4HXL3	F4HXL3_ARATH	IMPA-6 importin alpha isoform 6 At1g02690 T14P4.3 T14P4_3	Importin subunit alpha		unreviewed
AT1G02780	Q9SRX2	RL191_ARATH	RPL19A EMB2386 At1g02780 F22D16.23	Large ribosomal subunit protein eL19x (60S ribosomal protein L19-1) (Protein EMBRYO DEFECTIVE 2386)		reviewed
AT1G02820	Q9SRX6	LEA2_ARATH	LEA2 AtLEA3 At1g02820 F22D16.18	Late embryogenis abundant protein 2		reviewed
AT1G02880	B9DGU7	TPK1_ARATH	TPK1 At1g02880 F22D16.12	Thiamine pyrophosphokinase 1 (AtTPK1) (EC 2.7.6.2) (Thiamine kinase 1)	2.7.6.2	reviewed
AT1G02880	A0A1P8ARA0	A0A1P8ARA0_ARATH	TPK1 thiamin pyrophosphokinase1 At1g02880 F22D16.12 F22D16_12	Thiamine pyrophosphokinase (EC 2.7.6.2)	2.7.6.2	unreviewed
AT1G02880	B3H6N1	B3H6N1_ARATH	TPK1 thiamin pyrophosphokinase1 At1g02880 F22D16.12 F22D16_12	thiamine diphosphokinase (EC 2.7.6.2)	2.7.6.2	unreviewed
AT1G02890	A0A5S9SAF9	A0A5S9SAF9_ARATH	At1g02890 C24_LOCUS236	AAA+ ATPase domain-containing protein		unreviewed
AT1G02890	F4HZ81	F4HZ81_ARATH	At1g02890 F22D16.11 F22D16_11	AAA-type ATPase family protein		unreviewed
AT1G02910	Q9SRY4	LPA1_ARATH	LPA1 At1g02910 F22D16.9	Protein LOW PSII ACCUMULATION 1, chloroplastic		reviewed
AT1G02910	A0A1P8ANG6	A0A1P8ANG6_ARATH	LPA1 LOW PSII ACCUMULATION1 At1g02910 F22D16.9 F22D16_9	Tetratricopeptide repeat (TPR)-containing protein		unreviewed
AT1G02920	Q9SRY5	GSTF7_ARATH	GSTF7 GST11 GSTF8 At1g02920 F22D16.8	Glutathione S-transferase F7 (EC 2.5.1.18) (AtGSTF8) (GST class-phi member 7) (Glutathione S-transferase 11)	2.5.1.18	reviewed
AT1G02930	P42760	GSTF6_ARATH	GSTF6 ERD11 GST1 GSTF3 At1g02930 F22D16.7	Glutathione S-transferase F6 (AtGSTF6) (EC 2.5.1.18) (AtGSTF3) (GST class-phi member 6) (Glutathione S-transferase 1) (AtGST1) (Protein EARLY RESPONSE TO DEHYDRATION 11)	2.5.1.18	reviewed
AT1G03000	Q8RY16	PEX6_ARATH	PEX6 At1g03000 F10O3.18	Peroxisomal ATPase PEX6 (EC 3.6.4.-) (Peroxin-6) (AtPEX6) (Peroxisome biogenesis protein 6)	3.6.4.-	reviewed
AT1G03030	A0A1P8AMF1	A0A1P8AMF1_ARATH	At1g03030 F10O3.15 F10O3_15	P-loop containing nucleoside triphosphate hydrolases superfamily protein		unreviewed
AT1G03030	A0A654EBB4	A0A654EBB4_ARATH	At1g03030 AN1_LOCUS339 AT9943_LOCUS183 C24_LOCUS250	(thale cress) hypothetical protein		unreviewed
AT1G03090	Q42523	MCCA_ARATH	MCCA At1g03090 F10O3.9 F10O3_8	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	6.4.1.4	reviewed
AT1G03130	Q9SA56	PSAD2_ARATH	PSAD2 At1g03130 F10O3_4	Photosystem I reaction center subunit II-2, chloroplastic (Photosystem I 20 kDa subunit 2) (PSI-D2)		reviewed
AT1G03140	A0A178WM57	A0A178WM57_ARATH	At1g03140 AXX17_At1g02380 AN1_LOCUS353 C24_LOCUS264	Pre-mRNA-splicing factor 18		unreviewed
AT1G03160	Q1KPV0	FZL_ARATH	FZL At1g03160 F10O3.1 F15K9.23	Probable transmembrane GTPase FZO-like, chloroplastic (EC 3.6.5.-)	3.6.5.-	reviewed
AT1G03160	A0A1P8AUL2	A0A1P8AUL2_ARATH	FZL FZO-like At1g03160 F10O3.1 F10O3_1	FZO-like protein		unreviewed
AT1G03160	A0A1P8AUL4	A0A1P8AUL4_ARATH	FZL FZO-like At1g03160 F10O3.1 F10O3_1	FZO-like protein		unreviewed
AT1G03220	Q9ZVS4	Q9ZVS4_ARATH	SAP2 At1g03220 F15K9.17 F15K9_17	Eukaryotic aspartyl protease family protein (F15K9.17 protein)		unreviewed
AT1G03230	Q9ZVS5	Q9ZVS5_ARATH	SAP1 At1g03230 F15K9.16 F15K9_16	Eukaryotic aspartyl protease family protein (F15K9.16 protein)		unreviewed
AT1G03280	Q93ZW3	Q93ZW3_ARATH	At1g03280 F15K9.12 F15K9_12	TFIIE-alpha 1 (Transcription factor TFIIE, alpha subunit)		unreviewed
AT1G03310	Q8L735	ISOA2_ARATH	ISA2 DBE1 At1g03310 F15K9.9	Isoamylase 2, chloroplastic (AtISA2) (Protein DEBRANCHING ENZYME 1)		reviewed
AT1G03330	Q1H595	LSM2_ARATH	LSM2 At1g03330 F15K9.7	Sm-like protein LSM2 (AtLSM2) (U6 snRNA-associated Sm-like protein LSM2)		reviewed
AT1G03350	A0A178W020	A0A178W020_ARATH	At1g03350 AXX17_At1g02590	BSD domain-containing protein		unreviewed
AT1G03370	Q9ZVT9	C2GR1_ARATH	At1g03370 F15K9.2	C2 and GRAM domain-containing protein At1g03370		reviewed
AT1G03370	A0A1P8AUR4	A0A1P8AUR4_ARATH	At1g03370 F15K9.2 F15K9_2	C2 calcium/lipid-binding and GRAM domain containing protein		unreviewed
AT1G03400	Q94A78	ACCH4_ARATH	At1g03400 F21B7.39	1-aminocyclopropane-1-carboxylate oxidase homolog 4 (EC 1.14.-.-)	1.14.-.-	reviewed
AT1G03400	A0A1P8AQW5	A0A1P8AQW5_ARATH	At1g03400 F21B7.39 F21B7_39	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein		unreviewed
AT1G03430	Q8L9T7	AHP5_ARATH	AHP5 At1g03430 F21B7.5	Histidine-containing phosphotransfer protein 5		reviewed
AT1G03430	A0A1P8AWM0	A0A1P8AWM0_ARATH	AHP5 At1g03430 F21B7.5	Histidine-containing phosphotransfer protein		unreviewed
AT1G03457	Q8GZ26	BRN2L_ARATH	BRN2 At1g03457 F21B7.8	RNA-binding protein BRN2 (Protein BRUNO-LIKE 2) (AtBRN2)		reviewed
AT1G03457	A0A178WA59	A0A178WA59_ARATH	BRN2 AtBRN2 Bruno-like 2 At1g03457 F21B7.8	RNA-binding (RRM/RBD/RNP motifs) family protein		unreviewed
AT1G03457	A0A178WAT1	A0A178WAT1_ARATH	At1g03457 AXX17_At1g02710 AN1_LOCUS388	BRN2		unreviewed
AT1G03475	Q9LR75	HEM61_ARATH	CPX1 CPO HEMF HEMF1 LIN2 At1g03475 F21B7.10	Coproporphyrinogen-III oxidase 1, chloroplastic (AtCPO-I) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3) (Protein LESION INITIATION 2)	1.3.3.3	reviewed
AT1G03600	Q9LR64	PB27A_ARATH	PSB27-1 At1g03600 F21B7.14 F21B7.21 F21B7.22 F21B7_140	Photosystem II repair protein PSB27-H1, chloroplastic (Psb27-H1) (Thylakoid lumenal protein PSB27-H1)		reviewed
AT1G03630	O48741	PORC_ARATH	PORC At1g03630 F21B7.24 F21B7.35 F21B7_11	Protochlorophyllide reductase C, chloroplastic (PCR C) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase C) (POR C)	1.3.1.33	reviewed
AT1G03630	F4I2F8	F4I2F8_ARATH	POR POR C PORC At1g03630 F21B7.24	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33)	1.3.1.33	unreviewed
AT1G03680	O48737	TRXM1_ARATH	At1g03680 F21B7.28 F21B7_7	Thioredoxin M1, chloroplastic (AtTrxm1)		reviewed
AT1G03830	F4I2I5	F4I2I5_ARATH	GBPL1 At1g03830 F21M11.26 F21M11_26	Guanylate-binding family protein		unreviewed
AT1G03830	Q9ZWA5	Q9ZWA5_ARATH	GBPL1 F11M21.24 At1g03830 F21M11.26 F21M11_26	F11M21.24 protein (Guanylate-binding family protein)		unreviewed
AT1G03860	Q9ZNT7	PHB2_ARATH	PHB2 At1g03860 F21M11.21	Prohibitin-2, mitochondrial (Atphb2)		reviewed
AT1G03870	Q9ZWA8	FLA9_ARATH	FLA9 At1g03870 F21M11.20	Fasciclin-like arabinogalactan protein 9		reviewed
AT1G03900	Q681Q7	Y1390_ARATH	At1g03900 F21M11.17	Uncharacterized protein At1g03900		reviewed
AT1G03970	P42777	GBF4_ARATH	GBF4 BZIP40 At1g03970 F21M11.10	G-box-binding factor 4 (bZIP transcription factor 40) (AtbZIP40)		reviewed
AT1G04040	Q9ZWC4	Q9ZWC4_ARATH	At1g04040 F21M11.2 F21M11_2	At1g04040/F21M11_2 (F21M11.2 protein) (HAD superfamily, subfamily IIIB acid phosphatase) (Similar to acid phosphatase)		unreviewed
AT1G04080	Q93ZR3	PR39A_ARATH	PRP39-1 PRP39a At1g04080 F20D22.14	Pre-mRNA-processing factor 39-1 (AtPRP39-1) (PRP39 homolog A) (Pre-mRNA-processing factor 39a)		reviewed
AT1G04080	A0A1P8ATH2	A0A1P8ATH2_ARATH	PRP39A PRP39 At1g04080 F20D22.14	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G04080	F4I448	F4I448_ARATH	PRP39A PRP39 At1g04080 F20D22.14	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G04080	F4I450	F4I450_ARATH	PRP39A PRP39 At1g04080 F20D22.14	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G04090	Q501D1	Y1490_ARATH	At1g04090 F20D22.17	Hypothetical protein At1g04090		reviewed
AT1G04110	O64495	SBT12_ARATH	SBT1.2 SDD1 At1g04110 F20D22.12	Subtilisin-like protease SBT1.2 (EC 3.4.21.-) (Cucumisin-like serine protease SDD1) (Protein STOMATAL DENSITY AND DISTRIBUTION 1) (Subtilase subfamily 1 member 2) (AtSBT1.2) (Subtilisin-like protease SDD1)	3.4.21.-	reviewed
AT1G04130	F4I456	F4I456_ARATH	TPR2 AtTPR2 tetratricopeptide repeat 2 At1g04130 F20D22.10 F20D22_10	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G04130	Q940R2	Q940R2_ARATH	TPR2 AtTPR2 tetratricopeptide repeat 2 At1g04130 F20D22.10 F20D22_10	At1g04130/F20D22_10 (Tetratricopeptide repeat (TPR)-like superfamily protein)		unreviewed
AT1G04160	F4I460	MYO8_ARATH	XI-B XIB At1g04160 F20D22.7	Myosin-8 (Myosin XI B) (AtXIB)		reviewed
AT1G04160	A0A1P8ARX4	A0A1P8ARX4_ARATH	XIB ATXIB MYOSIN XI B myosin XI B MYOSIN XI-8 XI-8 XI-B At1g04160 F20D22.7 F20D22_7	Myosin XI B		unreviewed
AT1G04170	A0A384KBB6	A0A384KBB6_ARATH	At1g04170 AXX17_At1g03460 AN1_LOCUS458 AT9943_LOCUS283 C24_LOCUS370	protein-synthesizing GTPase (EC 3.6.5.3)	3.6.5.3	unreviewed
AT1G04190	A0A178WLS7	A0A178WLS7_ARATH	At1g04190 AXX17_At1g03480	TPR3		unreviewed
AT1G04270	Q08112	RS151_ARATH	RPS15A RIG RPS15 At1g04270 F19P19.29	Small ribosomal subunit protein uS19u (40S ribosomal protein S15-1)		reviewed
AT1G04270	F4I472	F4I472_ARATH	RPS15 RIBOSOMAL PROTEIN S15 At1g04270 F19P19.29 F19P19_29	Cytosolic ribosomal protein S15		unreviewed
AT1G04350	P93824	ACCH6_ARATH	At1g04350 F19P19.22	1-aminocyclopropane-1-carboxylate oxidase homolog 6 (EC 1.14.-.-)	1.14.-.-	reviewed
AT1G04410	P93819	MDHC1_ARATH	MDH1 At1g04410 F19P19.13	Malate dehydrogenase 1, cytoplasmic (EC 1.1.1.37) (Cytosolic NAD-dependent malate dehydrogenase 1) (cNAD-MDH1) (Cytosolic malate dehydrogenase 1) (Cytosolic MDH1)	1.1.1.37	reviewed
AT1G04420	A0A178WJS5	A0A178WJS5_ARATH	At1g04420 AXX17_At1g03700	NADP-dependent oxidoreductase domain-containing protein		unreviewed
AT1G04430	Q940J9	PMT8_ARATH	At1g04430 F19P19.11	Probable methyltransferase PMT8 (EC 2.1.1.-)	2.1.1.-	reviewed
AT1G04440	Q5XF24	CKL13_ARATH	CKL13 At1g04440 F19P19.10	Casein kinase 1-like protein 13 (EC 2.7.11.1) (Protein CASEIN KINASE I-LIKE 13)	2.7.11.1	reviewed
AT1G04480	P49690	RL23_ARATH	RPL23A At1g04480 F19P19.5; RPL23B At2g33370 F4P9.14; RPL23C EMB2171 At3g04400 T27C4.4	Large ribosomal subunit protein uL14x/uL14z/uL14y (60S ribosomal protein L23) (Protein EMBRYO DEFECTIVE 2171)		reviewed
AT1G04510	Q94BR4	PR19A_ARATH	PRP19A MAC3A PUB59 At1g04510 F19P19.2	Pre-mRNA-processing factor 19 homolog 1 (EC 2.3.2.-) (MOS4-associated complex protein 3A) (MAC protein 3A) (Plant U-box protein 59) (U-box domain-containing protein 59)	2.3.2.-	reviewed
AT1G04510	F4I5P3	F4I5P3_ARATH	MAC3A MOS4-associated complex 3A At1g04510 F19P19.2 F19P19_2	Pre-mRNA-processing factor 19 (EC 2.3.2.27)	2.3.2.27	unreviewed
AT1G04530	Q8VZ31	Q8VZ31_ARATH	TPR4 tetratricopeptide repeat 4 At1g04530 T1G11.22 T1G11_22	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G04580	Q7G191	ALDO4_ARATH	AAO4 AO2 At1g04580 T1G11.17	Aldehyde oxidase 4 (AO-4) (AtAO-4) (AtAO2) (EC 1.2.3.1) (Benzaldehyde oxidase) (Indole-3-acetaldehyde oxidase) (IAA oxidase) (EC 1.2.3.7)	1.2.3.1; 1.2.3.7	reviewed
AT1G04600	F4I5Q6	MYO7_ARATH	XI-A XIA At1g04600 T1G11.15	Myosin-7 (Myosin XI A) (AtXIA)		reviewed
AT1G04620	Q8GS60	HCAR_ARATH	HCAR HMCR At1g04620 T1G11.13	7-hydroxymethyl chlorophyll a reductase, chloroplastic (EC 1.17.7.2)	1.17.7.2	reviewed
AT1G04630	Q8RWA7	NDADA_ARATH	MEE4 At1g04630 T1G11.12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-A (Protein MATERNAL EFFECT EMBRYO ARREST 4)		reviewed
